Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
3.9,IBM,Entry Level - Associate Data Scientist,"Austin, TX",$81K - $132K (Glassdoor est.),,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136006&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_f62b025f&cb=1617667688349&jobListingId=4046058280
4.7,LLNL,Data Scientist - Entry Level,"Livermore, CA",$88K - $142K (Glassdoor est.),Top Company,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4134&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_8609cfcf&cb=1617667688350&jobListingId=3765144714
3.5,Kelly,"Scientist I, Analytical Development","Seattle, WA",,Actively Hiring,09/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1044072&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_cbca3e22&cb=1617667736723&jobListingId=4026690570
4.4,Microsoft,Data & Applied Scientist I,"Bellevue, WA",$94K - $147K (Glassdoor est.),Top Company,11/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_9b4353b9&cb=1617667736725&jobListingId=3774060040
3.1,Conduent,Data Scientist I,"Germantown, MD",$63K - $105K (Glassdoor est.),Hiring Surge,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1091461&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c59a72ab&cb=1617667736727&jobListingId=3816493119
3.5,Parallel Wireless,Data Scientist I,"Nashua, NH",$86K - $110K (Glassdoor est.),Hot,23/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=148364&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_c4b152e8&cb=1617667736729&jobListingId=3807188582
4.4,H E B,Data Scientist I,"San Antonio, TX",$70K - $114K (Glassdoor est.),Top Company,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=3839&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f1999b5&cb=1617667736731&jobListingId=4050278980
3.8,Crowley,Data Scientist I,"Jacksonville, FL",$55K - $93K (Glassdoor est.),,,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_e5854243&cb=1617667736731&jobListingId=3792098267
4.1,PayPal,Data Scientist 1,"Timonium, MD",$87K - $138K (Glassdoor est.),Top Company,10/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1091461&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_a57ff5ef&cb=1617667736732&jobListingId=3746824013
,Numerdox,Data Scientist - Entry Level,"Sacramento, CA",,Hot,27/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_21d56489&cb=1617667736732&jobListingId=3810841655
3.7,Sovrn,Data Scientist I,"Boulder, CO",,Hot,17/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=8095&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41b97bbb&cb=1617667736732&jobListingId=3802457124
3.6,Pekin Insurance,Data Scientist I,"Pekin, IL",$56K - $93K (Glassdoor est.),New,04/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_360749bd&cb=1617667736732&jobListingId=4052757524
4.4,Microsoft,Full Time Opportunities for Students & Recent Graduates - MAIDAP Data Scientist,"Cambridge, MA",$80K - $127K (Glassdoor est.),Top Company,03/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_946a0c5d&cb=1617667736732&jobListingId=3743180248
